zipcode,year,avg_response_seconds
94121,2003,345.48120898787039
94118,2009,345.48125339612409
94158,2005,345.55947136563873
94122,2007,345.59563241975678
94105,2003,345.78350515463922
94123,2004,345.91073354908303
94114,2011,346.29159719906636
94108,2010,346.4914746543779
94105,2001,346.65898959881127
94123,2010,347.14885213527509
94108,2000,347.33672819859964
94121,2007,348.42942422491825
94133,2008,348.96460717009927
94123,2011,348.96671747967468
94108,2012,349.66343251401463
94105,2006,349.67953570527385
94109,2010,349.77537121804176
94112,2003,350.06033717834964
94111,2008,350.25469075747054
94114,2003,350.77284141394631
94118,2003,351.105385689896
94117,2014,351.52450279474846
94117,2017,351.68665919282518
94110,2000,352.07661520869067
94118,2005,352.48846487424106
94109,2018,352.67387033398819
94114,2014,353.182229128408
94118,2017,353.67803921568617
94114,2015,354.22532871972311
94114,2002,354.30461750516889
94121,2005,354.64957768611276
94118,2016,354.74916630419028
94118,2008,354.81955278211132
94110,2017,354.9150985774894
94118,2014,355.23121568627437
94114,2007,355.3185986793838
94110,2013,355.85427338129472
94117,2015,355.9900682062941
94112,2001,356.994205400074
94105,2000,358.014319014319
94118,2015,358.32340801886795
94102,2011,358.37267668994929
94114,2018,358.77256944444446
94115,2016,358.96391652038227
94112,2006,359.40517702428087
94122,2006,359.46229913473434
94117,2008,359.68927518236848
94133,2010,360.2642465753425
94158,2009,360.65155807365443
94114,2001,360.81395829031584
94123,2007,361.06379542395689
94114,2006,361.18660381064626
94118,2018,361.41095890410958
94115,2015,361.51480310434033
94105,2007,361.51909158971807
94118,2012,361.57781456953643
94123,2013,362.0124829777576
94107,2009,362.2199061292103
94102,2013,362.38210102489023
94121,2000,362.43200740055511
94105,2008,363.0253135689851
94103,2011,363.21524714828888
94114,2012,363.68502274204025
94123,2001,363.9095995288576
94123,2009,364.23278094251691
94115,2017,364.96204898111796
94114,2016,365.14957893329779
94105,2010,365.230454777721
94103,2013,365.518038637598
94123,2008,365.57361181864485
94110,2008,365.88018220607751
94111,2011,366.06217457886669
94111,2007,366.11497134670492
94118,2002,366.1565716547903
94123,2005,366.73577131084215
94121,2008,366.92413793103447
94107,2000,367.03065985336588
94118,2001,367.19777905418346
94123,2003,367.35536349771223
94118,2007,367.45414847161584
94115,2018,367.70406905055489
94121,2006,367.79666940789474
94121,2002,368.24582666361761
94111,2013,368.89591296677452
94102,2000,369.03904983435547
94123,2014,370.36752326096581
94117,2016,370.42330291286407
94133,2009,371.18667432510063
94124,2002,371.66384180790953
94110,2018,371.85400425230335
94110,2015,372.15321062539232
94124,2003,372.342257377548
94121,2001,372.3456000000001
94104,2017,372.44506413831567
94110,2014,372.91360009185365
94158,2002,372.92039800995019
94122,2004,373.63959522573947
94158,2000,373.79215686274512
94108,2017,373.96190312015176
94107,2003,374.0183472772639
94117,2012,374.68675573627644
94123,2012,374.97978567949343
94110,2016,375.04659067140773
94117,2007,375.32812759594623
94133,2013,375.72728421584736
94111,2010,375.83822996010156
94110,2011,376.34199741761637
94104,2014,376.85646217986891
94108,2016,377.10691939639321
94108,2014,377.35429162357809
94122,2003,377.47837587620688
94129,2008,377.89542483660136
94103,2012,377.97791288286891
94123,2016,379.24723473986074
94123,2015,379.40818512963369
94124,2007,379.75866708061682
94110,2012,380.12372109527479
94103,2007,380.29835441183656
94112,2004,380.42659681194965
94102,2012,380.62233940187059
94104,2015,381.25801011804384
94122,2013,381.79616064662792
94122,2005,382.36257942409082
94102,2017,382.91558379967768
94107,2007,383.2086112795634
94108,2018,383.49631449631448
94102,2015,383.60281381690282
94133,2000,383.70173535791758
94122,2001,384.11295034079848
94107,2011,384.30087140838435
94112,2000,384.31282051282068
94112,2009,384.74143404488234
94107,2010,385.18299556301713
94124,2006,385.23411439680751
94123,2000,385.56888168557543
94116,2007,386.380678851175
94117,2011,387.3114965596331
94108,2015,387.32717157214643
94122,2009,387.3362233651726
94122,2011,387.49753366217834
94107,2013,387.7865072587532
94112,2002,387.98692729083666
94102,2016,388.65674487751295
94104,2016,388.83450134770891
94122,2010,389.11669871320817
94112,2005,389.31033684454218
94105,2013,389.45232213438726
94107,2008,389.92243186582806
94111,2014,390.3789826718837
94104,2013,390.45813797722707
94103,2017,390.57393314709554
94107,2006,390.7158227848102
94102,2014,390.87956927287757
94122,2000,391.01599803101158
94133,2012,391.63208415516107
94158,2003,391.75873015873015
94115,2011,391.87300019751137
94121,2011,392.31730091613809
94122,2017,393.44364178419903
94111,2015,393.699258905092
94131,2003,394.57703526915941
94105,2012,394.58870771477245
94124,2010,394.7049197095223
94112,2013,395.08002474992253
94123,2017,395.08253638253638
94111,2005,395.60989010989005
94122,2002,395.68757145190273
94114,2000,396.41768454593728
94111,2016,396.49573033707873
94112,2008,396.7158401339193
94103,2014,396.73284358964895
94103,2018,397.17846309403433
94127,2008,397.47111553784868
94112,2011,397.8940305870745
94131,2009,398.67038777908346
94112,2007,399.23347971560014
94127,2007,399.53527751646288
94133,2015,399.75366876310284
94133,2007,400.36305132632248
94158,2006,401.09644670050761
94127,2006,401.27840909090912
94104,2018,401.36521739130433
94124,2005,401.46080586080592
94103,2016,401.58532013548603
94112,2017,401.78645699063338
94102,2018,401.84423963133645
94127,2017,402.32898491642879
94133,2018,402.33943427620642
94133,2014,402.6641380154166
94116,2013,402.79420473773274
94121,2013,402.98613086770985
94121,2004,403.10150444081921
94121,2009,403.18706293706288
94112,2010,403.2483156881616
94131,2005,403.33763218983751
94103,2015,404.02896807669862
94116,2010,404.44177489177491
94131,2007,404.4947340705636
94131,2002,405.13461538461536
94107,2014,405.19898128667933
94114,2005,405.32367424242432
94116,2006,406.141515761234
94122,2018,406.18716577540107
94122,2008,406.34650630011453
94158,2004,406.50141643059493
94116,2008,406.87691221463865
94127,2003,406.91108247422682
94158,2018,406.93706293706293
94116,2011,407.30661231884045
94133,2016,407.41538801192183
94127,2009,407.47437238493717
94112,2018,407.64173703256944
94107,2016,407.6901
94122,2015,407.85913312693509
94134,2001,408.29663009404396
94133,2011,408.60164434425144
94122,2016,408.67116895874261
94134,2004,409.091508190548
94123,2006,409.40897629853754
94124,2008,409.41097028880131
94131,2013,409.95803261160108
94158,2001,410.08730158730157
94116,2001,410.23157894736835
94107,2017,410.2437951924955
94127,2013,410.52495974235109
94111,2009,410.73864783047424
94158,2015,410.879012345679
94107,2012,411.08938820368786
94116,2009,411.42961911521178
94133,2017,411.5521204459256
94122,2012,411.7535287730729
94134,2002,411.7859504132233
94107,2015,411.915967226219
94131,2016,412.4625755462576
94127,2011,412.64653902798233
94116,2002,412.69443050677364
94134,2007,413.41344505808422
94134,2003,413.50149981252349
94112,2016,413.61754739444996
94105,2011,414.00120598166905
94132,2008,414.33018124507487
94112,2012,414.80024749922666
94158,2011,414.99770642201827
94124,2001,415.49091475443873
94111,2017,415.74347725698442
94112,2015,415.88925238141059
94123,2018,415.90769230769229
94127,2010,416.3330049261084
94116,2003,417.64894096439843
94131,2004,417.802105263158
94116,2004,417.84357670979654
94112,2014,417.92213615980444
94127,2002,418.23576027736505
94158,2012,418.24169530355107
94122,2014,418.66960124287931
94158,2007,418.701317715959
94121,2017,419.00129720380522
94158,2016,419.44557996934077
94124,2013,419.57473065621951
94131,2010,420.53245067497409
94127,2000,420.61856474258974
94107,2018,420.88163884673747
94116,2005,421.2139303482586
94134,2006,421.67514450867048
94111,2018,422.07187500000003
94127,2015,422.44415243101179
94158,2013,422.49300322927883
94124,2011,422.88388267311763
94127,2004,423.02391304347827
94116,2017,423.62544038568512
94131,2017,423.63893180313397
94124,2004,424.42939905734488
94121,2010,424.43118195956464
94131,2000,424.89405204460962
94132,2007,426.16279069767444
94134,2010,426.41740250183966
94131,2014,426.9321899736147
94121,2016,427.22115682029067
94121,2012,427.76596119929445
94131,2008,427.80114099429505
94121,2015,427.87495997438356
94131,2001,428.20761470875362
94121,2018,428.30357142857144
94158,2010,428.5278450363196
94131,2015,428.69132397191589
94105,2014,429.06605876393104
94134,2000,429.43451202263088
94158,2017,429.4911710037174
94131,2018,430.5273224043716
94134,2011,430.54123801220584
94127,2016,431.67915162454875
94132,2009,433.59788907284769
94116,2000,434.40649496080624
94131,2012,436.838193548387
94134,2005,437.23524487233152
94103,2000,437.297309726374
94132,2010,438.56844029244513
94116,2012,438.74099339160097
94127,2014,439.05190629306384
94131,2006,439.10586797066014
94121,2014,439.33515121467525
94127,2005,439.72664657770122
94116,2018,439.85937500000006
94124,2000,440.16712707182313
94132,2006,441.19737373737377
94134,2008,441.23774283071225
94116,2015,441.28481375358177
94124,2016,446.37932206269636
94132,2011,447.96142093200916
94127,2001,447.98492723492734
94105,2016,451.36588196286476
94132,2013,452.49206649036648
94132,2005,453.71472125435537
94105,2015,453.7806566104702
94116,2016,454.19673111421156
94132,2002,454.30251460502933
94132,2000,456.06510219530662
94124,2017,456.46480483423164
94105,2017,457.84875992867575
94124,2015,458.64774774774787
94116,2014,459.76989655900354
94124,2014,460.26880461219724
94132,2004,460.58375191089766
94132,2001,461.04697452229294
94132,2018,461.52242744063329
94129,2009,462.409429280397
94124,2018,462.60755148741418
94134,2009,468.15444300757423
94132,2003,468.16950321987116
94134,2013,468.22571570412049
94104,2012,471.8997650743932
94132,2017,474.51773761713525
94129,2012,477.02702702702709
94124,2012,479.4900785854615
94129,2011,481.52409638554218
94134,2017,481.53853127833196
94105,2018,483.30512249443206
94132,2016,484.5201459127839
94132,2014,486.47267904509283
94132,2015,487.67706576728506
94134,2015,488.33047068538377
94134,2018,489.47402597402606
94134,2014,490.94277739009067
94134,2016,491.31299245599337
94130,2000,493.35937500000006
94129,2003,495.42196531791905
94129,2010,498.24554455445536
94134,2012,498.44208530805685
94158,2008,505.45508982035915
94104,2002,508.20514705882357
94130,2001,509.50723025583977
94129,2015,514.30054054054051
94111,2012,517.63580963435879
94129,2017,521.12336448598126
94131,2011,529.17549092716888
94129,2004,529.417004048583
94129,2013,533.67027027027018
94129,2007,533.79844961240315
94127,2018,535.64245810055866
94129,2001,536.0
94130,2002,537.71140939597319
94129,2002,538.21739130434764
94130,2016,541.09681787406919
94129,2016,541.78152929493547
94129,2014,544.86190009794325
94124,2009,546.32604522184306
94132,2012,548.64460431654675
94130,2018,551.49350649350652
94130,2015,558.00077639751555
94130,2004,558.357476635514
94130,2003,559.51425661914459
94130,2006,563.6618049225159
94129,2000,571.13157894736844
94130,2010,573.52655677655673
94129,2018,577.64062500000011
94130,2011,583.11415094339611
94130,2017,586.78742709008429
94130,2014,587.83320923306042
94158,2014,592.0490045941807
94130,2013,601.17073170731715
94130,2005,614.16261879619844
94127,2012,616.37469467513415
94130,2009,649.30540037243952
94129,2005,699.74725274725279
94130,2007,704.44043321299637
94130,2012,754.350358422939
94130,2008,807.0273037542662
